"","ID","Title","U","N1","AUC","P.Value","adj.P.Val"
"GO:0048645","GO:0048645","organ formation",457053,61,0.567755711991175,0.0337105334529795,0.333814035102271
"GO:0008076","GO:0008076","voltage-gated potassium channel complex",624155,85,0.557428072572687,0.0337647582222012,0.333814035102271
"GO:0031528","GO:0031528","microvillus membrane",77979,16,0.36804768917082,0.0338363799675697,0.333814035102271
"GO:0032589","GO:0032589","neuron projection membrane",265477,34,0.590452741895306,0.0340291704691442,0.333814035102271
"GO:0060742","GO:0060742","epithelial cell differentiation involved in prostate gland development",55321,12,0.348035885047058,0.0341791592567276,0.333814035102271
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis",545135,93,0.445246233700468,0.0341799189715413,0.333814035102271
"GO:0071276","GO:0071276","cellular response to cadmium ion",126317,15,0.635893176269224,0.0342226266061679,0.333814035102271
"GO:1900750","GO:1900750","oligopeptide binding",103621,12,0.651901202878857,0.0342363790420827,0.333814035102271
"GO:0000002","GO:0000002","mitochondrial genome maintenance",214815,27,0.601323491127739,0.0342372879010683,0.333814035102271
"GO:0031629","GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane",72332,15,0.36412696015505,0.0342431128491986,0.333814035102271
"GO:0099500","GO:0099500","vesicle fusion to plasma membrane",72332,15,0.36412696015505,0.0342431128491986,0.333814035102271
"GO:0044839","GO:0044839","cell cycle G2/M phase transition",1243103,176,0.539908670484079,0.0342449474493303,0.333814035102271
"GO:0031954","GO:0031954","positive regulation of protein autophosphorylation",178269,22,0.612204318799967,0.0342658544678993,0.333814035102271
"GO:0046514","GO:0046514","ceramide catabolic process",111192,13,0.645770537503267,0.0344042019520817,0.334644575469091
"GO:0060675","GO:0060675","ureteric bud morphogenesis",484745,65,0.565270627197407,0.0345052883711374,0.335110681977317
"GO:1903020","GO:1903020","positive regulation of glycoprotein metabolic process",78144,16,0.368826461259628,0.0346548544683376,0.335762329934581
"GO:0045665","GO:0045665","negative regulation of neuron differentiation",1303098,185,0.538803103570181,0.0347310538689623,0.335762329934581
"GO:0044331","GO:0044331","cell-cell adhesion mediated by cadherin",55418,12,0.348646132165685,0.0347375208225173,0.335762329934581
"GO:0071599","GO:0071599","otic vesicle development",148608,18,0.62356495468278,0.0347854674674411,0.335762329934581
"GO:0005248","GO:0005248","voltage-gated sodium channel activity",163381,20,0.617090950294606,0.034954572400735,0.336878700063964
"GO:0048675","GO:0048675","axon extension",816011,113,0.549359930253773,0.0351647788755223,0.337987456329781
"GO:0048552","GO:0048552","regulation of metalloenzyme activity",55494,12,0.349124263928733,0.0351802146316761,0.337987456329781
"GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process",630394,86,0.556495808586219,0.0352304868806388,0.337987456329781
"GO:0016126","GO:0016126","sterol biosynthetic process",393146,52,0.572504922005149,0.0353397855243948,0.338253956958494
"GO:0042635","GO:0042635","positive regulation of hair cycle",95786,11,0.657342657342657,0.0353911293263363,0.338253956958494
"GO:0033604","GO:0033604","negative regulation of catecholamine secretion",133573,16,0.630441964959976,0.0354384685493481,0.338253956958494
"GO:0007435","GO:0007435","salivary gland morphogenesis",279405,36,0.586995159582514,0.0354893283878928,0.338253956958494
"GO:0043325","GO:0043325","phosphatidylinositol-3,4-bisphosphate binding",163248,20,0.616588608551141,0.0355590340040899,0.338253956958494
"GO:0043206","GO:0043206","extracellular fibril organization",110973,13,0.644498649708163,0.0356314717729608,0.338253956958494
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H",657812,90,0.55505940326718,0.0356781852379206,0.338253956958494
"GO:0007589","GO:0007589","body fluid secretion",564440,96,0.44670896013777,0.0357635703693455,0.338253956958494
"GO:0009566","GO:0009566","fertilization",855781,143,0.456308236178614,0.0359264494638334,0.338253956958494
"GO:0034390","GO:0034390","smooth muscle cell apoptotic process",66943,14,0.361042197005652,0.0359267696957554,0.338253956958494
"GO:0034391","GO:0034391","regulation of smooth muscle cell apoptotic process",66943,14,0.361042197005652,0.0359267696957554,0.338253956958494
"GO:0006338","GO:0006338","chromatin remodeling",824802,138,0.455550768822906,0.0359857258878926,0.338253956958494
"GO:0061037","GO:0061037","negative regulation of cartilage development",199805,25,0.603959797476007,0.0360216781005185,0.338253956958494
"GO:0097066","GO:0097066","response to thyroid hormone",170513,21,0.613406864596711,0.0360286860071482,0.338253956958494
"GO:0045736","GO:0045736","negative regulation of cyclin-dependent protein serine/threonine kinase activity",154807,29,0.403520478780944,0.0361090650689696,0.338253956958494
"GO:0005328","GO:0005328","neurotransmitter:sodium symporter activity",95801,19,0.380856401143352,0.0361169146490666,0.338253956958494
"GO:0055021","GO:0055021","regulation of cardiac muscle tissue growth",279199,36,0.58656237919965,0.0361970802290272,0.338343461555165
"GO:0036126","GO:0036126","sperm flagellum",307774,40,0.582111514601301,0.0362338309614051,0.338343461555165
"GO:0070006","GO:0070006","metalloaminopeptidase activity",61347,13,0.356285390713477,0.0364057273941674,0.3389395020751
"GO:0007029","GO:0007029","endoplasmic reticulum organization",196882,36,0.413624598732752,0.0365064110174276,0.3389395020751
"GO:0022843","GO:0022843","voltage-gated cation channel activity",1026043,144,0.543335260874723,0.0366045556916715,0.3389395020751
"GO:0003203","GO:0003203","endocardial cushion morphogenesis",101751,20,0.384314095784862,0.0366667706917369,0.3389395020751
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity",466031,80,0.442053991500987,0.0367362581835724,0.3389395020751
"GO:0065004","GO:0065004","protein-DNA complex assembly",992772,165,0.459543267394791,0.0368157759844976,0.3389395020751
"GO:0009395","GO:0009395","phospholipid catabolic process",166952,31,0.407163255998849,0.0368569776814549,0.3389395020751
"GO:0042752","GO:0042752","regulation of circadian rhythm",726081,100,0.551817145462836,0.0368770570513671,0.3389395020751
"GO:0002753","GO:0002753","cytoplasmic pattern recognition receptor signaling pathway",336028,44,0.577947631300136,0.0368849008831631,0.3389395020751
"GO:0008237","GO:0008237","metallopeptidase activity",1042429,173,0.460496840356849,0.0368856645941205,0.3389395020751
"GO:0060271","GO:0060271","cilium morphogenesis",1335111,190,0.537718089990817,0.0368891795055558,0.3389395020751
"GO:0044241","GO:0044241","lipid digestion",143119,27,0.400627594566072,0.0369858421890447,0.339119473073488
"GO:0016712","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",125342,24,0.394633771598408,0.0370163727549675,0.339119473073488
"GO:0018149","GO:0018149","peptide cross-linking",300294,53,0.429074178591586,0.0371292736351581,0.33928289881525
"GO:0016051","GO:0016051","carbohydrate biosynthetic process",1341628,191,0.537554937360691,0.0371418689802511,0.33928289881525
"GO:0030140","GO:0030140","trans-Golgi network transport vesicle",143194,27,0.40083753922466,0.0372920566678935,0.339902159716075
"GO:0001972","GO:0001972","retinoic acid binding",61503,13,0.357191392978482,0.0373175145999562,0.339902159716075
"GO:0005310","GO:0005310","dicarboxylic acid transmembrane transporter activity",242918,31,0.592429463682546,0.0374939049729848,0.340741776408803
"GO:0086069","GO:0086069","bundle of His cell to Purkinje myocyte communication",95440,11,0.654968191768977,0.0375704209034376,0.340741776408803
"GO:0071277","GO:0071277","cellular response to calcium ion",349992,46,0.575879635114323,0.037571876027942,0.340741776408803
"GO:0051567","GO:0051567","histone H3-K9 methylation",213905,27,0.598776162603538,0.0378609016856594,0.342628634362429
"GO:0050715","GO:0050715","positive regulation of cytokine secretion",559252,95,0.447228075506703,0.0379233834078892,0.342628634362429
"GO:0009414","GO:0009414","response to water deprivation",50340,11,0.345464153118716,0.0379787835786351,0.342628634362429
"GO:0042129","GO:0042129","regulation of T cell proliferation",894207,149,0.457806793938894,0.0380317677498295,0.342628634362429
"GO:0060766","GO:0060766","negative regulation of androgen receptor signaling pathway",61632,13,0.35794058715916,0.0380855084758599,0.342628634362429
"GO:0042634","GO:0042634","regulation of hair cycle",184721,23,0.606826431891723,0.0381060880038176,0.342628634362429
"GO:0008207","GO:0008207","C21-steroid hormone metabolic process",257102,33,0.58910923984648,0.0382842020017616,0.343076341260834
"GO:0004385","GO:0004385","guanylate kinase activity",102943,12,0.647635764255876,0.0383034113550176,0.343076341260834
"GO:0032693","GO:0032693","negative regulation of interleukin-10 production",78849,16,0.372153942002719,0.0383370700578196,0.343076341260834
"GO:0090277","GO:0090277","positive regulation of peptide hormone secretion",622106,85,0.555598126292193,0.0383736031395983,0.343076341260834
"GO:0007143","GO:0007143","female meiotic division",125680,24,0.395697949725455,0.0384996785313633,0.34343378487684
"GO:0042276","GO:0042276","error-prone translesion synthesis",140433,17,0.623877706055612,0.0385225584496154,0.34343378487684
"GO:0055026","GO:0055026","negative regulation of cardiac muscle tissue development",162593,20,0.614114669889711,0.0386621123090657,0.343852410331756
"GO:0061323","GO:0061323","cell proliferation involved in heart morphogenesis",117989,14,0.636347456530181,0.038678622707475,0.343852410331756
"GO:0045777","GO:0045777","positive regulation of blood pressure",285564,37,0.583764158985398,0.0389951481063806,0.344566759612586
"GO:0042451","GO:0042451","purine nucleoside biosynthetic process",635644,87,0.554722714567096,0.0390132290466545,0.344566759612586
"GO:0046129","GO:0046129","purine ribonucleoside biosynthetic process",635644,87,0.554722714567096,0.0390132290466545,0.344566759612586
"GO:0042044","GO:0042044","fluid transport",264310,47,0.425676861802785,0.0390464940746984,0.344566759612586
"GO:0006402","GO:0006402","mRNA catabolic process",1273531,181,0.538050231163736,0.0391109253434548,0.344566759612586
"GO:0035358","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway",95204,11,0.653348614094443,0.0391188137360688,0.344566759612586
"GO:0007214","GO:0007214","gamma-aminobutyric acid signaling pathway",191793,24,0.603851821066949,0.0391416468162163,0.344566759612586
"GO:0005149","GO:0005149","interleukin-1 receptor binding",56174,12,0.353402284966531,0.0393505997196083,0.345576423976453
"GO:0032036","GO:0032036","myosin heavy chain binding",102771,12,0.64655367658161,0.0393955359564145,0.345576423976453
"GO:0016525","GO:0016525","negative regulation of angiogenesis",399304,69,0.43877583537445,0.039454447845174,0.345576423976453
"GO:0006684","GO:0006684","sphingomyelin metabolic process",61872,13,0.35933443679763,0.0395486203734766,0.345576423976453
"GO:0046621","GO:0046621","negative regulation of organ growth",191694,24,0.603540123923228,0.0395911702162871,0.345576423976453
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",919942,153,0.458809066040253,0.0396568393557875,0.345576423976453
"GO:0034728","GO:0034728","nucleosome organization",882747,147,0.458018582308982,0.0397718006271965,0.345576423976453
"GO:0045940","GO:0045940","positive regulation of steroid metabolic process",191629,24,0.603335474283411,0.0398885886180708,0.345576423976453
"GO:0043462","GO:0043462","regulation of ATPase activity",319591,56,0.432281634817235,0.0399156480859391,0.345576423976453
"GO:0022038","GO:0022038","corpus callosum development",50640,11,0.347522938298208,0.0399733219332925,0.345576423976453
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway",398603,53,0.569542697520236,0.0400412902978292,0.345576423976453
"GO:0045727","GO:0045727","positive regulation of translation",586839,80,0.556646494156928,0.0400812939083099,0.345576423976453
"GO:0010002","GO:0010002","cardioblast differentiation",90766,18,0.380857670359181,0.0400814540057374,0.345576423976453
"GO:0050856","GO:0050856","regulation of T cell receptor signaling pathway",137902,26,0.400840619477258,0.0400855665987188,0.345576423976453
"GO:0051818","GO:0051818","disruption of cells of other organism involved in symbiotic interaction",67700,14,0.365124908314277,0.0403050615520698,0.345576423976453
"GO:0051883","GO:0051883","killing of cells in other organism involved in symbiotic interaction",67700,14,0.365124908314277,0.0403050615520698,0.345576423976453
"GO:0032040","GO:0032040","small-subunit processome",149881,28,0.404602634704676,0.0403425694380728,0.345576423976453
"GO:2000463","GO:2000463","positive regulation of excitatory postsynaptic potential",169590,21,0.610086446000928,0.0403977270506461,0.345576423976453
"GO:0045778","GO:0045778","positive regulation of ossification",614321,84,0.555134753157373,0.0405063699761712,0.345576423976453
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane",572800,78,0.557176763550056,0.0405761705379234,0.345576423976453
"GO:0032392","GO:0032392","DNA geometric change",433525,58,0.566255224660397,0.0405775949598297,0.345576423976453
"GO:0010737","GO:0010737","protein kinase A signaling",184185,23,0.605065619815706,0.0405905795371063,0.345576423976453
"GO:0060043","GO:0060043","regulation of cardiac muscle cell proliferation",220491,28,0.595213799805636,0.0406350813958346,0.345576423976453
"GO:0050798","GO:0050798","activated T cell proliferation",246525,44,0.424007939237998,0.0406511590622179,0.345576423976453
"GO:0001658","GO:0001658","branching involved in ureteric bud morphogenesis",447478,60,0.56508309339799,0.0407258903121476,0.345576423976453
"GO:0048520","GO:0048520","positive regulation of behavior",870856,145,0.458011396955377,0.0407714814114437,0.345576423976453
"GO:0014003","GO:0014003","oligodendrocyte development",263618,34,0.586318102558628,0.0408229471125065,0.345576423976453
"GO:0060080","GO:0060080","inhibitory postsynaptic potential",132571,16,0.625712694457031,0.0408613856738075,0.345576423976453
"GO:0060732","GO:0060732","positive regulation of inositol phosphate biosynthetic process",94940,11,0.651536883136491,0.0409120581778547,0.345576423976453
"GO:0030669","GO:0030669","clathrin-coated endocytic vesicle membrane",356029,47,0.573392256936112,0.0409477170317292,0.345576423976453
"GO:0043496","GO:0043496","regulation of protein homodimerization activity",169478,21,0.60968353496872,0.0409559874203412,0.345576423976453
"GO:0045072","GO:0045072","regulation of interferon-gamma biosynthetic process",79344,16,0.374490258269144,0.0411083972564468,0.346158029205062
"GO:0090335","GO:0090335","regulation of brown fat cell differentiation",94897,11,0.651241790594097,0.0412103585450794,0.346158029205062
"GO:1903206","GO:1903206","negative regulation of hydrogen peroxide-induced cell death",125053,15,0.629530066198495,0.0412160433574758,0.346158029205062
"GO:0070646","GO:0070646","protein modification by small protein removal",853944,119,0.546160286170941,0.0412445946268446,0.346158029205062
"GO:0017124","GO:0017124","SH3 domain binding",799303,111,0.547724038026008,0.0414253877913575,0.34721305751187
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process",1050378,148,0.541353825221102,0.0415542674941881,0.347830741056929
"GO:0045540","GO:0045540","regulation of cholesterol biosynthetic process",109979,13,0.638725789122165,0.0416605293706161,0.348257714354103
"GO:0006012","GO:0006012","galactose metabolic process",102406,12,0.644257385877498,0.0417970905023197,0.34854168127337
"GO:0001937","GO:0001937","negative regulation of endothelial cell proliferation",174202,32,0.411599311961288,0.0418050945649164,0.34854168127337
"GO:0042383","GO:0042383","sarcolemma",853571,119,0.545921725109863,0.0420435961144992,0.348712210518887
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation",375623,65,0.438021328326793,0.0421161408224297,0.348712210518887
"GO:0045063","GO:0045063","T-helper 1 cell differentiation",85320,17,0.379036593113191,0.0421289127630285,0.348712210518887
"GO:0007612","GO:0007612","learning",995986,140,0.542322435911398,0.0422237214754379,0.348712210518887
"GO:0019897","GO:0019897","extrinsic component of plasma membrane",753560,126,0.455424529442196,0.0422673725613502,0.348712210518887
"GO:0040036","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway",212887,27,0.59592651377097,0.0422792422638066,0.348712210518887
"GO:0034143","GO:0034143","regulation of toll-like receptor 4 signaling pathway",73771,15,0.371371038787787,0.0422940847406471,0.348712210518887
"GO:1901981","GO:1901981","phosphatidylinositol phosphate binding",757894,105,0.548775039552809,0.0423182980542373,0.348712210518887
"GO:0044346","GO:0044346","fibroblast apoptotic process",139735,17,0.620776820659538,0.0423688161730544,0.348712210518887
"GO:0042340","GO:0042340","keratan sulfate catabolic process",56647,12,0.356378026070764,0.042482175034042,0.348712210518887
"GO:0008637","GO:0008637","apoptotic mitochondrial changes",805641,112,0.547179614657365,0.042513508823178,0.348712210518887
"GO:0007520","GO:0007520","myoblast fusion",216676,39,0.420288590044245,0.0425531122218011,0.348712210518887
"GO:0045601","GO:0045601","regulation of endothelial cell differentiation",150395,28,0.405990173847317,0.0425965389325389,0.348712210518887
"GO:0048747","GO:0048747","muscle fiber development",397742,53,0.568312460260193,0.0427848886263763,0.348712210518887
"GO:0043130","GO:0043130","ubiquitin binding",647851,89,0.552754553808271,0.0428839059593242,0.348712210518887
"GO:0016755","GO:0016755","transferase activity, transferring amino-acyl groups",102995,20,0.389012690738782,0.0428967933911603,0.348712210518887
"GO:0043679","GO:0043679","axon terminus",859982,120,0.54548003247577,0.0429036949968251,0.348712210518887
"GO:0005092","GO:0005092","GDP-dissociation inhibitor activity",94642,11,0.649491823191529,0.0430157675630187,0.348712210518887
"GO:0033260","GO:0033260","nuclear DNA replication",305853,40,0.578478211529732,0.0430178802945629,0.348712210518887
"GO:1903830","GO:1903830","magnesium ion transmembrane transport",117277,14,0.63250744272339,0.0430365603984899,0.348712210518887
"GO:0015095","GO:0015095","magnesium ion transmembrane transporter activity",117277,14,0.63250744272339,0.0430365603984899,0.348712210518887
"GO:0001098","GO:0001098","basal transcription machinery binding",169046,21,0.608129449558776,0.0431681563039353,0.348712210518887
"GO:0001099","GO:0001099","basal RNA polymerase II transcription machinery binding",169046,21,0.608129449558776,0.0431681563039353,0.348712210518887
"GO:0007338","GO:0007338","single fertilization",660803,111,0.452816625859906,0.043197314779096,0.348712210518887
"GO:0061337","GO:0061337","cardiac conduction",920993,129,0.543794700293628,0.0432086683190942,0.348712210518887
"GO:0050773","GO:0050773","regulation of dendrite development",805275,112,0.546931032796505,0.0433415154749073,0.349334317355862
"GO:0004713","GO:0004713","protein tyrosine kinase activity",810094,135,0.457265586854858,0.0435247203058053,0.349334317355862
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility",124656,15,0.627531526089255,0.0436376942935377,0.349334317355862
"GO:0001917","GO:0001917","photoreceptor inner segment",216976,39,0.420870503024978,0.0437043891384417,0.349334317355862
"GO:0016411","GO:0016411","acylglycerol O-acyltransferase activity",124642,15,0.627461048604294,0.0437251450057563,0.349334317355862
"GO:0050819","GO:0050819","negative regulation of coagulation",390419,52,0.568533824951362,0.0437689115077734,0.349334317355862
"GO:0017049","GO:0017049","GTP-Rho binding",132076,16,0.623376378190606,0.0437788241795652,0.349334317355862
"GO:0071682","GO:0071682","endocytic vesicle lumen",124633,15,0.627415741649677,0.0437814379503073,0.349334317355862
"GO:0033555","GO:0033555","multicellular organismal response to stress",578512,79,0.555651924187022,0.043789503612832,0.349334317355862
"GO:0035035","GO:0035035","histone acetyltransferase binding",212548,27,0.594977563914152,0.0438399881054239,0.349334317355862
"GO:0048635","GO:0048635","negative regulation of muscle organ development",284245,37,0.581067793457174,0.0440288729908125,0.350157704161577
"GO:0016578","GO:0016578","histone deubiquitination",176178,22,0.605023489656309,0.0441045644628827,0.350157704161577
"GO:0061035","GO:0061035","regulation of cartilage development",453355,61,0.56316202018094,0.0441099820885757,0.350157704161577
"GO:0043073","GO:0043073","germ cell nucleus",120978,23,0.397424483829109,0.0443268874184638,0.351038265252421
"GO:0072676","GO:0072676","lymphocyte migration",419555,72,0.441919670694508,0.0443322955958952,0.351038265252421
"GO:0000993","GO:0000993","RNA polymerase II core binding",124527,15,0.626882126406403,0.0444488529288382,0.351519598507487
"GO:0034121","GO:0034121","regulation of toll-like receptor signaling pathway",217220,39,0.421343792249307,0.0446591817577889,0.351931840897057
"GO:0001711","GO:0001711","endodermal cell fate commitment",124489,15,0.626690830375796,0.0446901017841341,0.351931840897057
"GO:0071800","GO:0071800","podosome assembly",91599,18,0.384352970795569,0.0447153702156574,0.351931840897057
"GO:0009214","GO:0009214","cyclic nucleotide catabolic process",161428,20,0.609714458377398,0.0447243224747807,0.351931840897057
"GO:0007171","GO:0007171","activation of transmembrane receptor protein tyrosine kinase activity",101968,12,0.641501837032563,0.0448339934008977,0.352112179831977
"GO:0006749","GO:0006749","glutathione metabolic process",390085,52,0.56804744929461,0.0449045239536621,0.352112179831977
"GO:0034705","GO:0034705","potassium channel complex",626409,86,0.552977951821694,0.0449148330294955,0.352112179831977
"GO:0016558","GO:0016558","protein import into peroxisome matrix",57052,12,0.358925965071216,0.0453210251590816,0.353530204037121
"GO:0001756","GO:0001756","somitogenesis",401387,69,0.441064743236843,0.0453837387837124,0.353530204037121
"GO:0048245","GO:0048245","eosinophil chemotaxis",51405,11,0.352772840505912,0.0454464594079024,0.353530204037121
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",736054,102,0.548511377795265,0.0454578529094061,0.353530204037121
"GO:0016339","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",151035,28,0.40771784904438,0.0455441979124636,0.353530204037121
"GO:0071889","GO:0071889","14-3-3 protein binding",103480,20,0.390844538449917,0.0455464885704225,0.353530204037121
"GO:0005452","GO:0005452","inorganic anion exchanger activity",97602,19,0.388016267725739,0.0455511516598941,0.353530204037121
"GO:0005684","GO:0005684","U2-type spliceosomal complex",197693,25,0.597575757575758,0.0456693757670901,0.353530204037121
"GO:0048546","GO:0048546","digestive tract morphogenesis",315269,55,0.434156149084574,0.0457089223392929,0.353530204037121
"GO:0008210","GO:0008210","estrogen metabolic process",103514,20,0.390972956639976,0.0457370708131376,0.353530204037121
"GO:0042058","GO:0042058","regulation of epidermal growth factor receptor signaling pathway",420037,72,0.442427364039301,0.0457437784451906,0.353530204037121
"GO:0046479","GO:0046479","glycosphingolipid catabolic process",101838,12,0.640683980069455,0.0457687841494988,0.353530204037121
"GO:0019218","GO:0019218","regulation of steroid metabolic process",557009,76,0.55599042554041,0.0459035025898652,0.353816113131338
"GO:0006972","GO:0006972","hyperosmotic response",103552,20,0.391116482852395,0.0459508324669025,0.353816113131338
"GO:0016579","GO:0016579","protein deubiquitination",735846,102,0.548356375082718,0.045976418722756,0.353816113131338
"GO:0014856","GO:0014856","skeletal muscle cell proliferation",62856,13,0.365049220315358,0.0460320799985127,0.353816113131338
"GO:1903509","GO:1903509","liposaccharide metabolic process",686902,115,0.454467082824714,0.046086471343936,0.353816113131338
"GO:0019400","GO:0019400","alditol metabolic process",153833,19,0.611562329799118,0.0461630363747733,0.353972771618244
"GO:1903779","GO:1903779","regulation of cardiac conduction",494407,67,0.559412399001128,0.046450373869637,0.354884220266027
"GO:0032200","GO:0032200","telomere organization",966895,136,0.541801711539668,0.0464837082289655,0.354884220266027
"GO:0060420","GO:0060420","regulation of heart growth",319114,42,0.574905597832353,0.0465879824676651,0.354884220266027
"GO:0033627","GO:0033627","cell adhesion mediated by integrin",375551,50,0.568672016959418,0.0465899284471746,0.354884220266027
"GO:0005547","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding",240746,31,0.587132380736373,0.0466251729140069,0.354884220266027
"GO:0050433","GO:0050433","regulation of catecholamine secretion",326178,43,0.574009450149143,0.0466384421971225,0.354884220266027
"GO:0001553","GO:0001553","luteinization",57249,12,0.360165332930696,0.0467560435005747,0.354884220266027
"GO:2000181","GO:2000181","negative regulation of blood vessel morphogenesis",420420,72,0.44283078012033,0.0468909172459122,0.354884220266027
"GO:0048786","GO:0048786","presynaptic active zone",211904,27,0.59317483911241,0.0469327781306439,0.354884220266027
"GO:0006521","GO:0006521","regulation of cellular amino acid metabolic process",473344,64,0.560557829316356,0.0470561854248191,0.354884220266027
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response",712204,119,0.455507082961048,0.0470947804583355,0.354884220266027
"GO:0005801","GO:0005801","cis-Golgi network",229995,41,0.424425674989897,0.0471004819660032,0.354884220266027
"GO:0000779","GO:0000779","condensed chromosome, centromeric region",525828,89,0.448643008222409,0.0471990440285007,0.354884220266027
"GO:0014904","GO:0014904","myotube cell development",254928,33,0.584127857020107,0.0472668350322012,0.354884220266027
"GO:0045342","GO:0045342","MHC class II biosynthetic process",68778,14,0.370938861802649,0.0472777310271654,0.354884220266027
"GO:0042430","GO:0042430","indole-containing compound metabolic process",219044,28,0.591307634164777,0.0472778876219837,0.354884220266027
"GO:0050663","GO:0050663","cytokine secretion",973611,161,0.461729655029813,0.0472782938580436,0.354884220266027
"GO:0016607","GO:0016607","nuclear speck",1202064,171,0.537144802864501,0.0472953744285995,0.354884220266027
"GO:0030195","GO:0030195","negative regulation of blood coagulation",375319,50,0.568320714718353,0.0474331006173606,0.355072248445634
"GO:1900047","GO:1900047","negative regulation of hemostasis",375319,50,0.568320714718353,0.0474331006173606,0.355072248445634
"GO:0007041","GO:0007041","lysosomal transport",431327,58,0.563384273772205,0.0476131966406845,0.355627399237137
"GO:0005501","GO:0005501","retinoid binding",151466,28,0.408881330309902,0.047620105498357,0.355627399237137
"GO:0072224","GO:0072224","metanephric glomerulus development",86255,17,0.383190357934579,0.0477362438927736,0.356072834622665
"GO:0008198","GO:0008198","ferrous iron binding",175460,22,0.602557762575895,0.0479670921394918,0.356983994908989
"GO:0014014","GO:0014014","negative regulation of gliogenesis",276169,36,0.580196725995395,0.0480054279118769,0.356983994908989
"GO:0043171","GO:0043171","peptide catabolic process",115743,22,0.397480013187175,0.0480283083742381,0.356983994908989
"GO:0046717","GO:0046717","acid secretion",816860,114,0.545149010688621,0.0481929333453484,0.357105266751092
"GO:0002286","GO:0002286","T cell activation involved in immune response",482791,82,0.446849963718216,0.0482553431464961,0.357105266751092
"GO:0046626","GO:0046626","regulation of insulin receptor signaling pathway",254701,45,0.428367685024008,0.0482889726436191,0.357105266751092
"GO:0032421","GO:0032421","stereocilium bundle",248606,44,0.427587132105068,0.048349163353364,0.357105266751092
"GO:0005859","GO:0005859","muscle myosin complex",92209,18,0.386912554548506,0.0483750883639596,0.357105266751092
"GO:0003678","GO:0003678","DNA helicase activity",360974,48,0.569287787030028,0.0484760959190627,0.357105266751092
"GO:0035591","GO:0035591","signaling adaptor activity",420941,72,0.443379552387212,0.0484882994849069,0.357105266751092
"GO:0031402","GO:0031402","sodium ion binding",116444,14,0.628014842300557,0.0486296516353204,0.357105266751092
"GO:0061041","GO:0061041","regulation of wound healing",884642,124,0.543186361917112,0.048657349004103,0.357105266751092
"GO:0040037","GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway",108956,13,0.632784505038186,0.0487025613569208,0.357105266751092
"GO:0090181","GO:0090181","regulation of cholesterol metabolic process",175327,22,0.602101019258771,0.0487114525594472,0.357105266751092
"GO:0044786","GO:0044786","cell cycle DNA replication",360847,48,0.569087496845824,0.0489607926519944,0.357105266751092
"GO:0032436","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process",569779,78,0.554238161939224,0.0490228270122273,0.357105266751092
"GO:0043174","GO:0043174","nucleoside salvage",74822,15,0.376661884265901,0.049092005627066,0.357105266751092
"GO:1901343","GO:1901343","negative regulation of vasculature development",445905,76,0.445089595860384,0.0491226326506134,0.357105266751092
"GO:0033540","GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase",93803,11,0.643734087306217,0.0494109488678857,0.357105266751092
"GO:0016082","GO:0016082","synaptic vesicle priming",57603,12,0.362392420353314,0.0494261289972324,0.357105266751092
"GO:0061387","GO:0061387","regulation of extent of cell growth",727657,101,0.547581116704055,0.049463070715068,0.357105266751092
"GO:0000932","GO:0000932","cytoplasmic mRNA processing body",377996,65,0.440788530047986,0.0495175900974076,0.357105266751092
"GO:0071880","GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway",98278,19,0.390703702378539,0.049567390087936,0.357105266751092
"GO:1901983","GO:1901983","regulation of protein acetylation",347170,60,0.438412385715007,0.0495998025846701,0.357105266751092
"GO:0014874","GO:0014874","response to stimulus involved in regulation of muscle adaptation",116303,14,0.627254390128144,0.0496314916068309,0.357105266751092
"GO:0001773","GO:0001773","myeloid dendritic cell activation",163905,30,0.413025400665256,0.0496483473284312,0.357105266751092
"GO:0045078","GO:0045078","positive regulation of interferon-gamma biosynthetic process",57635,12,0.362593738990387,0.0496733733091905,0.357105266751092
